seqName,Accession.ID,Virus.name,Location,Collection.date,location,continent,country,state,host,hasYearOnly,hasMonthOnly,hasFullDate,decDate
EPI_ISL_413550|Human|Nigeria|hCoV-19/Nigeria/Lagos01/2020|2020-02-27|2020.156,EPI_ISL_413550,hCoV-19/Nigeria/Lagos01/2020,Africa / Nigeria / Lagos,27/02/2020,Africa/Nigeria/Lagos,Africa,Nigeria,Lagos,Human,FALSE,FALSE,TRUE,2020.155738
EPI_ISL_414647|Human|Democratic Republic of the Congo|hCoV-19/DRC/KN-13/2020|2020-03-09|2020.186,EPI_ISL_414647,hCoV-19/DRC/KN-13/2020,Africa / Democratic Republic of the Congo / Kinshasa,09/03/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.185792
EPI_ISL_417186|Human|South Africa|hCoV-19/South Africa/R03006/2020|2020-03-07|2020.180,EPI_ISL_417186,hCoV-19/South Africa/R03006/2020,Africa / South Africa / KZN,07/03/2020,Africa/South Africa/KZN,Africa,South Africa,KZN,Human,FALSE,FALSE,TRUE,2020.180328
EPI_ISL_417433|Human|Democratic Republic of the Congo|hCoV-19/DRC/KN-0017/2020|2020-03-11|2020.191,EPI_ISL_417433,hCoV-19/DRC/KN-0017/2020,Africa / Democratic Republic of the Congo / Kinshasa,11/03/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.191257
EPI_ISL_417434|Human|Democratic Republic of the Congo|hCoV-19/DRC/KN-0038/2020|2020-03-14|2020.199,EPI_ISL_417434,hCoV-19/DRC/KN-0038/2020,Africa / Democratic Republic of the Congo / Kinshasa,14/03/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.199454
EPI_ISL_417435|Human|Democratic Republic of the Congo|hCoV-19/DRC/KN-0043/2020|2020-03-15|2020.202,EPI_ISL_417435,hCoV-19/DRC/KN-0043/2020,Africa / Democratic Republic of the Congo / Kinshasa,15/03/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.202186
EPI_ISL_417436|Human|Democratic Republic of the Congo|hCoV-19/DRC/KN-0051/2020|2020-03-17|2020.208,EPI_ISL_417436,hCoV-19/DRC/KN-0051/2020,Africa / Democratic Republic of the Congo / Kinshasa,17/03/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.20765
EPI_ISL_417437|Human|Democratic Republic of the Congo|hCoV-19/DRC/KN-0054/2020|2020-03-17|2020.208,EPI_ISL_417437,hCoV-19/DRC/KN-0054/2020,Africa / Democratic Republic of the Congo / Kinshasa,17/03/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.20765
EPI_ISL_417438|Human|Democratic Republic of the Congo|hCoV-19/DRC/KN-0058/2020|2020-03-17|2020.208,EPI_ISL_417438,hCoV-19/DRC/KN-0058/2020,Africa / Democratic Republic of the Congo / Kinshasa,17/03/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.20765
EPI_ISL_417439|Human|Democratic Republic of the Congo|hCoV-19/DRC/KN-0059/2020|2020-03-17|2020.208,EPI_ISL_417439,hCoV-19/DRC/KN-0059/2020,Africa / Democratic Republic of the Congo / Kinshasa,17/03/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.20765
EPI_ISL_417440|Human|Democratic Republic of the Congo|hCoV-19/DRC/KN-0060/2020|2020-03-17|2020.208,EPI_ISL_417440,hCoV-19/DRC/KN-0060/2020,Africa / Democratic Republic of the Congo / Kinshasa,17/03/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.20765
EPI_ISL_417441|Human|Democratic Republic of the Congo|hCoV-19/DRC/KN-0070/2020|2020-03-17|2020.208,EPI_ISL_417441,hCoV-19/DRC/KN-0070/2020,Africa / Democratic Republic of the Congo / Kinshasa,17/03/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.20765
EPI_ISL_417442|Human|Democratic Republic of the Congo|hCoV-19/DRC/KN-0072/2020|2020-03-18|2020.210,EPI_ISL_417442,hCoV-19/DRC/KN-0072/2020,Africa / Democratic Republic of the Congo / Kinshasa,18/03/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.210383
EPI_ISL_417941|Human|Democratic Republic of the Congo|hCoV-19/DRC/73/2020|2020-03-18|2020.210,EPI_ISL_417941,hCoV-19/DRC/73/2020,Africa / Democratic Republic of the Congo / Kinshasa,18/03/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.210383
