ISO3,Country,country,name_plot,full_name,Country_code,pop
DZA,Algeria ,Algeria,Algeria,Algeria,DZ,42228429
AGO,Angola ,Angola,Angola,Angola,AO,30809762
BEN,Benin ,Benin,Benin,Benin,BJ,11485048
BWA,Botswana ,Botswana,Botswana,Botswana,BW,2254126
BFA,Burkina Faso ,Burkina Faso,Burkina Faso,Burkina Faso,BF,19751535
BDI,Burundi ,Burundi,Burundi,Burundi,BI,11175378
CPV,Cabo Verde ,Cabo Verde,Cabo Verde,Cabo Verde,CV,543767
CMR,Cameroon ,Cameroon,Cameroon,Cameroon,CM,25216237
CAF,Central African Republic ,Central African Republic,Central Af. Republic,Central African Republic,CF,4666377
TCD,Chad ,Chad,Chad,Chad,TD,15477751
COM,Comoros ,Comoros,Comoros,Comoros,KM,832322
COG,Congo ,Congo,Congo,Congo,CG,5244363
CIV,Cote d'Ivoire ,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,CI,25069229
COD,Democratic Republic of Congo ,Democratic Republic of the Congo,Dem. Rep. Congo,Democratic Republic of the Congo,CD,84068091
GNQ,Equatorial Guinea ,Equatorial Guinea,Equat. Guinea,Equatorial Guinea,GQ,1308974
ERI,Eritrea ,Eritrea,Eritrea,Eritrea,ER,6050000
ETH,Ethiopia ,Ethiopia,Ethiopia,Ethiopia,ET,109224559
GAB,Gabon ,Gabon,Gabon,Gabon,GA,2119275
GMB,Gambia ,Gambia,Gambia,Gambia,GM,2280102
GHA,Ghana ,Ghana,Ghana,Ghana,GH,29767108
GIN,Guinea ,Guinea,Guinea,Guinea,GN,12414318
GNB,Guinea Bissau ,Guinea-Bissau,Guinea Bissau,Guinea Bissau,GW,1874309
KEN,Kenya ,Kenya,Kenya,Kenya,KE,51393010
LSO,Lesotho ,Lesotho,Lesotho,Lesotho,LS,2108132
LBR,Liberia ,Liberia,Liberia,Liberia,LR,4818977
MDG,Madagascar ,Madagascar,Madagascar,Madagascar,MG,26262368
MWI,Malawi ,Malawi,Malawi,Malawi,MW,18143315
MLI,Mali ,Mali,Mali,Mali,ML,19077690
MRT,Mauritania ,Mauritania,Mauritania,Mauritania,MR,4403319
MOZ,Mozambique ,Mozambique,Mozambique,Mozambique,MZ,29495962
NAM,Namibia,Namibia,Namibia,Namibia,,2448255
NER,Niger ,Niger,Niger,Niger,NE,22442948
NGA,Nigeria ,Nigeria,Nigeria,Nigeria,NG,195874740
RWA,Rwanda ,Rwanda,Rwanda,Rwanda,RW,12301939
STP,Sao Tome and Principe ,Sao Tome and Principe,Sao Tome and Principe,Sao Tome and Principe,ST,211028
SEN,Senegal ,Senegal,Senegal,Senegal,SN,15854360
SLE,Sierra Leone ,Sierra Leone,Sierra Leone,Sierra Leone,SL,7650154
ZAF,South Africa ,South Africa,South Africa,South Africa,ZA,57779622
SSD,South Sudan ,South Sudan,South Sudan,South Sudan,SS,10975920
SWZ,Eswatini,Eswatini,Eswatini,Eswatini,SZ,1367000
TZA,United Republic of Tanzania ,United Republic of Tanzania,Unit. Rep. Tanzania,United Republic of Tanzania,TZ,56318348
TGO,Togo ,Togo,Togo,Togo,TG,7889094
UGA,Uganda ,Uganda,Uganda,Uganda,UG,42723139
ZMB,Zambia ,Zambia,Zambia,Zambia,ZM,17351822
ZWE,Zimbabwe,Zimbabwe,Zimbabwe,Zimbabwe,ZW,14439018
MUS,Mauritius ,Mauritius,Mauritius,Mauritius,MU,1265303
SYC,Seychelles ,Seychelles,Seychelles,Seychelles,SC,96762
