ISO3	Country	country	name_plot	full_name
DZA	Algeria 	Algeria	Algeria	Algeria
AGO	Angola 	Angola	Angola	Angola
BEN	Benin 	Benin	Benin	Benin
BWA	Botswana 	Botswana	Botswana	Botswana
BFA	Burkina Faso 	Burkina Faso	Burkina Faso	Burkina Faso
BDI	Burundi 	Burundi	Burundi	Burundi
CMR	Cabo Verde 	Cabo Verde	Cape Verde	Cape Verde
CPV	Cameroon 	Cameroon	Cameroon	Cameroon
CAF	Central African Republic 	Central African Republic	Central Af. Republic	Central African Republic
TCD	Chad 	Chad	Chad	Chad
COM	Comoros 	Comoros	Comoros	Comoros
COG	Congo 	Congo	Congo	Congo
CIV	Cote d'Ivoire 	Côte d’Ivoire	Cote d'Ivoire	Cote d'Ivoire
COD	Democratic Republic of Congo 	Democratic Republic of the Congo	Dem. Rep. Congo	Democratic Republic of the Congo
GNQ	Equatorial Guinea 	Equatorial Guinea	Equat. Guinea	Equatorial Guinea
ERI	Eritrea 	Eritrea	Eritrea	Eritrea
ETH	Ethiopia 	Ethiopia	Ethiopia	Ethiopia
GAB	Gabon 	Gabon	Gabon	Gabon
GMB	Gambia 	Gambia	Gambia	Gambia
GHA	Ghana 	Ghana	Ghana	Ghana
GIN	Guinea 	Guinea	Guinea	Guinea
GNB	Guinea Bissau 	Guinea-Bissau	Guinea Bissau	Guinea Bissau
KEN	Kenya 	Kenya	Kenya	Kenya
LSO	Lesotho 	Lesotho	Lesotho	Lesotho
LBR	Liberia 	Liberia	Liberia	Liberia
MDG	Madagascar 	Madagascar	Madagascar	Madagascar
MWI	Malawi 	Malawi	Malawi	Malawi
MLI	Mali 	Mali	Mali	Mali
MRT	Mauritania 	Mauritania	Mauritania	Mauritania
MOZ	Mozambique 	Mozambique	Mozambique	Mozambique
NAM	Namibia	Namibia	Namibia	Namibia
NER	Niger 	Niger	Niger	Niger
NGA	Nigeria 	Nigeria	Nigeria	Nigeria
RWA	Rwanda 	Rwanda	Rwanda	Rwanda
STP	Sao Tome and Principe 	Sao Tome and Principe	Sao Tome and Principe	Sao Tome and Principe
SEN	Senegal 	Senegal	Senegal	Senegal
SLE	Sierra Leone 	Sierra Leone	Sierra Leone	Sierra Leone
ZAF	South Africa 	South Africa	South Africa	South Africa
SSD	South Sudan 	South Sudan	South_Sudan	South Sudan
SWZ	Eswatini	Eswatini	Eswatini	Eswatini
TZA	United Republic of Tanzania 	United Republic of Tanzania	Unit. Rep. Tanzania	United Republic of Tanzania
TGO	Togo 	Togo	Togo	Togo
UGA	Uganda 	Uganda	Uganda	Uganda
ZMB	Zambia 	Zambia	Zambia	Zambia
ZWE	Zimbabwe	Zimbabwe	Zimbabwe	Zimbabwe
MUS	Mauritius 	Mauritius	Mauritius	Mauritius
SYC	Seychelles 	Seychelles	Seychelles	Seychelles
